page,scientific_name,common_name.hu
28,&Anasimyia,iszaplegyek
,* lineata,kúparcú &iszaplégy
,* interpuncta,korai *
,* lunulata,északi *
,* contracta,dudoros *
,* transfuga,gyakori *
29,&Arctophila,hegyilegyek
,* superbiens,őszi &hegyilégy
,* bombiformis,poszméhalakú *
,&Baccha,árnyéklegyek
,* elongata,szürkehomlokú &árnyéklégy
,* obscuripennis,fényeshomlokú *
30,&Blera,sárgaarcúlegyek
,* fallax,sárgaarcúlégy
,&Brachymyia,bundáslegyek
,* berberina,változékogy &bundáslégy
,* floccosa,fehérpamacsú *
31,&Brachyopa,fanedvlegyek
,* testacea,északi &fanedvlégy
,* vittata,nagy *
,* panzeri,Panzeri *
32,* dorsata,duplacsíkos *
,* maculipennis,foltosszárnyú *
,* insensilis,szil *
,* bicolor,nyár *
,* scutellaris,nyugati *
,* plena,ritka *
,* pilosa,gyakori *
33,&Brachypalpoides,korhadófalegyek
,* lentus,vöröspotrohú korhadófalégy
34,&Brachypalpus,korhadéklegyek
,* valgus,déli &korhadéklégy
,* laphriformis,barna *
,* chrysites,aranysárga *
,&Caliprobola,pompáslegyek
35,* speciosa,pompáslégy
,&Callicera,bronzoslegyek
,* spinolae,feketecsíkos &bronzoslégy
,* aenea,szürkecsíkos *
,* rufa,vörösbarna *
36,* macquartii,őszi *
,&Ceriana,hosszúcsápúlegyek
,* conopsoides,nagy &hosszúcsápúlégy
,* vespiformis,kis *
,&Chalcosyrphus,holtfalegyek
,* eunotus,csíkoshátú &holtfalégy
,* curvipes,ritka *
37,* femoratus,nagy *
,* nemorum,kis *
,* piger,vörös *
,* valgus,fekete *
,&Chamaesyrphus,ékarcúlegyek
,* scaevoides,sárga ékarcúlégy
38,&Cheilosia,bronzlegyek
,* insignis,érczöld &bronzlégy
,* antiqua,feketeszőrű *
,* nigripes,fekete *
39,* longula,ritka gomba-*
,* soror,vöröscsápú gomba-*
,* scutellata,gyakori gomba-*
,* laticornis,szélesarcú *
,* pagana,turbolya *
,* caerulescens,foltosszárnyú *
41,* variabilis,közönséges *
,* hypena,mecseki *
,* vulpina,aszatszár *
,* latifrons,széles-szemszegélyű *
,* illustrata,tarkaszőrű *
42,* grossa,kecskefűz *
43,* pictipennis,hegyvidéki *
,* subpictipennis,fűz *
,* chrysocoma,vörhenyes *
,* flavipes,barnacombú *
,* albipila,aszat *
,* orthotricha,koratavaszi *
,* nebulosa,barnaszárnyú *
44,* chloris,acsalapu-*
,* canicularis,martilapu-*
45,* impressa,feketelábú *
,* schnabli,sárgásvörös-csápú *
46,* albitarsis,fehér-lábfejízű *
,* ranunculi,boglárka *
,* fasciata,medvehagyma *
,* semifasciata,varjúháj *
,* lenta,gólyahír *
,* cynocephala,bogáncs *
,* vernalis,bakszakáll *
,* mutabilis,bogáncsgyökér *
,* gigantea,nagy *
47,* proxima,mezeiaszat *
,* velutina,görvélyfű *
,* bergenstammi,aggófű *
,* fraterna,bogáncsvirág *
48,&Chrysogaster,smaragdlegyek
49,* cemiteriorum,sárgaszárnytövű &smaragdlégy
,* basalis,kis *
,* solstitialis,gyakori *
,* virescens,zöld *
,&Chrysotoxum,öveslegyek
,* intermedium,déli öveslégy
